pos_id,pos_name,salary,org_id,place_id
1198,維修工程師,"32,000 / 月",801,4
1199,技師,"28,000 / 月",802,5
1200,行政助理,"28,000 / 月",803,1
1201,生技工程師,"28,000 / 月",804,2
1202,UI設計師,"36,000 / 月",805,1
1203,專員,"400,000 / 年",806,8
1204,研發工程師,"42,000 / 月",807,4
1205,平面設計師,"22,000 / 月",808,1
1206,副工程師,"450,000 / 年",809,2
1207,工程師,"50,000 / 月",810,1
1208,教練,"70,000 / 月",811,2
1209,經理,"100,000 / 月",812,1
1210,QA工程師,"9,000 / 月",813,6
1211,演算法研發工程師,"2,200,000 / 年",814,6
1212,創意,"22,000 / 月",815,1
1213,軟體工程師,"22,000 / 月",816,15
1214,韌體工程師,"55,000 / 月",816,15
1215,FAE,"80,000 / 月",817,6
1216,MIS工程師,"32,000 / 月",818,16
1217,設備工程師,"800,000 / 年",819,10
1218,行政人員,"60,000 / 月",819,10
1219,資訊助理,"25,000 / 月",820,8
1220,耐材工程師,"38,000 / 月",821,2
1221,測試工程師,"31,000 / 月",822,4
1222,南區業務,"40,000 / 月",823,5
1223,營建工程師,"55,000 / 月",824,1
1224,工讀生,"35,000 / 月",825,14
1225,生管工程師,"42,000 / 月",826,10
1226,兼職人員,"16,000 / 月",827,1
1227,海外儲備幹部,"1,000,000 / 年",828,2
1228,辦事員,"35,000 / 月",829,1
1229,多媒體設計師,"36,000 / 月",830,1
1230,客服專員,"32,000 / 月",831,1
1231,PM,"750,000 / 年",832,1
1232,副理,"51,500 / 月",833,1
1233,工程師,"36,600 / 月",834,5
1234,國內業務人員,"35,000 / 月",835,1
1235,採購助理,"34,000 / 月",836,1
1236,博士後研究員,"63,000 / 月",837,1
1237,實習生,"23,000 / 月",837,1
1238,研究助理,"37,000 / 月",837,1
1239,PRODUCT ＭERCHANDISER,"503,000 / 年",838,1
1240,技術顧問,"513,500 / 年",839,1
1241,資深工程師,"880,000 / 年",840,1
1242,其他專案管理師,"60,000 / 月",840,1
1243,國內業務人員,"35,000 / 月",841,4
1244,結帳人員,158 / 小時,842,6
1245,機械工程師-實習,"18,000 / 月",843,13
1246,工讀生,165 / 小時,844,1
1247,維護工程師,"31,000 / 月",845,6
1248,會計專員,"35,000 / 月",846,1
1249,機構設計,"47,000 / 年",847,8
1250,PM,"70,000 / 月",848,8
1251,材料測試,"3,000 / 月",849,5
1252,設計工程師,"34,000 / 月",850,8
1253,環境工程師,"30,000 / 月",851,6
1254,公關企劃,"40,000 / 月",852,1
1255,文案編輯,"25,000 / 月",853,4
1256,保養工程師,"50,000 / 月",854,5
1257,引擎技師,"40,000 / 月",855,14
1258,軟體工程師,"95,000 / 月",856,6
1259,倉管,"27,000 / 月",857,8
1260,軟體工程師,"2,200,000 / 年",858,10
1261,雲端工程師,"70,000 / 月",859,1
1262,富邦華一銀行RM實習生,"22,000 / 月",860,1
1263,行政人員,"35,000 / 月",861,6
1264,業務助理,"32,000 / 月",862,6
1265,助教老師,"22,000 / 月",863,1
1266,婚禮顧問,"45,000 / 月",864,1
1267,國貿,"35,000 / 月",865,2
1268,硬體工程師,"82,000 / 月",866,1
1269,軟體實習生,170 / 小時,867,6
1270,本地化專員,"22,000 / 月",868,1
1271,通訊軟體工程師,"30,000 / 月",869,1
1272,事業開發 / 業務,"40,000 / 月",870,1
1273,審計員,"50,000 / 月",871,1
1274,ASSISTANT RELATIONSHIP MANAGER,"900,000 / 年",872,1
1275,生產技術╱製程工程師,"38,000 / 月",873,8
1276,硬體測試工程師,"28,000 / 月",874,1
1277,資深工程師,"65,000 / 月",875,1
1278,SOFTWARE ENGINEER,"35,000 / 月",876,5
1279,國外業務,"28,000 / 月",877,6
1280,券商後線人員,"27,400 / 月",878,1
1281,客服工程師,"35,000 / 月",879,15
1282,機構工程師,"40,000 / 月",880,1
1283,設計助理,"20,000 / 月",881,1
1284,外送員,"32,000 / 月",882,16
1285,助理專員,"36,000 / 月",883,1
1286,PJM,"35,000 / 月",884,6
1287,業務專員,"37,000 / 月",885,6
1288,軟體工程師,"55,800 / 月",886,6
1289,職業安全衛生師,"38,000 / 月",887,1
1290,專利工程師,"50,000 / 月",888,1
1291,門市店員,"28,270 / 月",889,1
1292,平面設計師,"28,000 / 月",890,1
1293,工讀生,"28,000 / 月",891,11
1294,軟體工程師,"40,000 / 月",891,11
1295,國外業務,"33,000 / 月",892,15
1296,電子工程師,"28,000 / 月",893,1
1297,實習生,"12,000 / 月",894,2
1298,銷售人員,"28,000 / 月",895,1
1299,結構工程師,"50,000 / 月",896,1
1300,業務工程師,"3,700 / 月",897,1
1301,類比工程師,"1,400,000 / 年",898,11
1302,業務,"22,000 / 月",899,5
1303,機構工程師,"53,000 / 月",900,8
1304,生產技術╱製程工程師,"60,000 / 月",901,8
1305,工程師,"800,000 / 年",902,5
1306,產品工程師,"40,000 / 月",903,10
1307,軟體工程師,"33,000 / 月",904,1
1308,工讀生,"22,000 / 月",905,8
1309,研究助理,"540,000 / 年",906,1
1310,製程工程師,"36,600 / 月",907,6
1311,工程師,"38,000 / 月",908,6
1312,專案設計師,"45,000 / 月",909,1
1313,實習研發工程師,"15,000 / 月",910,2
1314,專員,"35,000 / 月",911,1
1315,約僱人員,"34,916 / 月",912,6
1316,客戶品質工程師,"85,000 / 月",913,15
1317,軟體工程師,"59,000 / 月",913,15
1318,替代役,"6,000 / 月",914,17
1319,高級韌體工程師,"49,200 / 月",915,6
1320,作業員,"26,000 / 月",916,15
1321,櫃檯秘書,"30,000 / 月",917,11
1322,工程師,"700,000 / 年",918,8
1323,美術設計,"23,800 / 月",919,5
1324,軟體工程師,"50,000 / 月",920,1
1325,PARADA SALES,"60,000 / 月",921,1
1326,軟體工程師,"43,000 / 月",922,5
1327,軟體工程師,"500,000 / 年",923,1
1328,行銷專員,"35,000 / 月",924,1
1329,行銷專員,"35,000 / 月",925,1
1330,行銷專員,"35,000 / 月",926,1
1331,液晶工程師,"60,000 / 月",927,8
1332,專員,"60,000 / 月",928,1
1333,產品工程師,"950,000 / 年",929,6
1334,INTERNET程式設計師,"28,000 / 月",930,5
1335,研發工程師,"43,000 / 月",931,5
1336,資深圖書管理專員,"28,100 / 月",932,2
1337,圖書管理專員,"25,000 / 月",932,1
1338,專案管理工程師,"45,000 / 月",933,1
1339,品管工程師,"50,000 / 月",934,8
1340,資訊工程師,"47,800 / 月",935,10
1341,存匯櫃檯人員,"450,000 / 年",936,1
1342,委員助理,"30,000 / 月",937,1
1343,海外儲備幹部,"25,000 / 月",938,2
1344,一級技術員,"35,000 / 月",938,2
1345,國外業務助理,"36,000 / 月",939,1
1346,駐廠工程師,"33,400 / 月",940,2
1347,研究助理,"37,000 / 月",941,4
1348,國外業務,"50,000 / 月",942,6
1349,產品研發工程師,"75,000 / 月",943,6
1350,工讀生,158 / 小時,944,1
1351,打工,"22,000 / 月",945,1
1352,工讀生,158 / 小時,946,2
1353,供應鏈處長,"130,000 / 月",947,6
1354,CUSTOMER SUPPORT ENGINEER,"1,200,000 / 年",948,4
1355,工程師,"35,000 / 月",949,6
1356,專員,"36,000 / 月",950,9
1357,美編人員,"28,000 / 月",951,8
1358,銷售顧問,"28,000 / 月",952,2
1359,工程師,"56,000 / 月",953,15
1360,軟體工程師,"330,000 / 年",954,4
1361,CUSTOMER SERVICE,"24,000 / 月",955,8
1362,軟體工程師,"52,000 / 月",956,15
1363,業務專員,"40,000 / 月",957,2
1364,軟體工程師,"108,000 / 月",958,6
1365,專案主任,"80,000 / 月",958,6
1366,儲備顧問,"45,000 / 月",959,2
1367,實習生,"23,100 / 月",959,6
1368,門市正職人員,"27,000 / 月",960,4
1369,助理工程師,"36,000 / 月",961,2
1370,資深工程師,"81,250 / 月",961,2
1371,影片企劃小編,"27,000 / 月",962,1
1372,行銷,"35,000 / 月",963,1
1373,技術員,"55,000 / 月",964,4
1374,助手,"22,000 / 月",965,2
1375,工程師,"65,000 / 月",966,15
1376,行銷企劃,"55,000 / 月",967,1
1377,IC封裝╱測試工程師,"720,000 / 年",968,10
1378,行銷企劃,"34,000 / 月",969,1
1379,客服工程師,"38,000 / 月",970,2
1380,軟體工程師,"35,000 / 月",971,8
1381,業務員,"40,000 / 月",972,6
1382,美容顧問,"60,000 / 月",973,5
1383,客服員,"30,000 / 月",974,1
1384,實習生,150 / 小時,975,1
1385,工讀輔導老師,170 / 小時,976,6
1386,實習生,"23,000 / 月",977,1
1387,英文老師,"30,000 / 月",978,8
1388,資深工程師,"75,000 / 月",979,10
1389,軟體工程師,"55,000 / 月",980,15
1390,英文老師,450 / 小時,981,4
1391,行政專員,"30,000 / 月",982,1
1392,社工,"35,000 / 月",983,4
